,Entity,Year,Emissions per kilogram,Eutrophication per kilogram,Land use per kilogram,Water scarcity per kilogram,Water withdrawals per kilogram,Label
134,Goat's cheese,2022,19.312073018867927,65.87334550188679,22.61793603962264,37119.24236773585,1782.2338281886796,Specific Food Products
135,Granola,2022,1.7811926156448203,15.093532882663848,5.141597698942918,18338.64540158562,499.27591250782245,Specific Food Products
136,Grapes,2022,8.278876373015873,4.925588680952381,1.5365324888888887,3122.2244565079363,46.54826160476191,Specific Food Products
137,Haddock risotto,2022,4.898891066666667,21.3072113,3.738225866666667,17220.136400000003,1172.09625,Specific Food Products
138,Halloumi cheese,2022,16.172452393333334,54.05539590666667,19.101110773333332,31598.03432633333,1534.2174020666666,Specific Food Products
139,Ice cream,2022,3.661809453757829,12.550810098329857,5.287275175574113,7961.440015457202,463.3415495217119,Specific Food Products
140,Ice lollies,2022,1.3143929375,8.102486424999999,1.9413439875000005,20251.384305833333,653.0928727916667,Specific Food Products
141,Instant coffee,2022,28.783641316666667,109.19572430588234,18.368179943137257,582.531205822549,43.0810012,Specific Food Products
142,Kale,2022,0.9034191734693876,6.329730410204082,0.8103920489795918,4714.708586122449,133.3457062857143,Specific Food Products
143,Kiwis,2022,1.6137066606060604,13.202448943939396,1.0652690893939394,13204.745031212122,726.6945575606062,Specific Food Products
144,Lamb (leg),2022,30.74094725519043,23.40692831449602,43.422118258673706,1019.9472640617188,88.01058658013702,Specific Food Products
145,Lamb Hotpot,2022,11.22625366261194,10.639524732741034,15.960923737882224,2636.497491266926,94.1239414820596,Specific Food Products
146,Lamb burgers,2022,26.92828869900683,21.02919381755111,38.0973729462661,2310.035002766529,106.4520233986762,Specific Food Products
147,Lamb casserole,2022,30.87731,23.50435,43.66,995.28,86.27000000000001,Specific Food Products
148,Lamb chops,2022,30.901992941176477,23.504929411764707,43.66,995.28,86.27000000000001,Specific Food Products
149,Lamb curry,2022,10.192564702241118,13.049658097931298,16.24347882138017,3309.17987385743,151.81605653753914,Specific Food Products
150,Lamb moussaka,2022,7.25916164,12.5042918,9.82535584,8521.204514,286.8188972,Specific Food Products
151,Lasagne sheets,2022,1.96138175,12.750267596551724,3.551825222413793,21190.656471024136,834.8795131862071,Specific Food Products
152,Lemons,2022,0.4701528599999999,1.6169002885714288,0.6113751457142858,9155.021509142856,123.2619118,Specific Food Products
153,Lentils,2022,2.536520218918919,27.72644895945946,27.474860575675677,746.9618568648649,14.314525478378378,Specific Food Products
154,Lettuce,2022,4.926023126492997,5.119083671540617,6.781334481008403,23105.835613994444,294.9870220729468,Specific Food Products
155,Limes,2022,0.4630078571428571,1.6172164285714286,0.6261871428571429,8802.706197857144,121.7007714285714,Specific Food Products
156,Macaroni cheese,2022,16.849313125000002,57.79138925,20.686935125,36337.255525,1668.2072232500002,Specific Food Products
157,Mackerel,2022,13.606384471999998,63.7540337,5.801549458,39541.631164000006,3961.7235294,Specific Food Products
158,Marmalade,2022,1.5489212745945946,13.646863607567568,1.73009918,13067.233767351352,917.8675170248648,Specific Food Products
159,Meat pizza,2022,7.400659903436843,33.68068273737219,8.356963704511628,29485.73139845547,883.3655337994494,Specific Food Products
160,Meat-free burger,2022,1.0183294723880598,9.036999479850746,3.797216135820896,9440.000487179104,211.81026189179104,Specific Food Products
161,Meat-free mince,2022,0.8770376238095239,9.005541723809523,5.802559076190476,7431.131521552381,107.6329106,Specific Food Products
162,Meat-free nuggets,2022,0.8618467304347827,4.044626573913044,1.9581447956521745,18010.28020217391,251.34492595652176,Specific Food Products
163,Meat-free sausages,2022,0.9625576706896553,7.423425129310345,3.720544686206897,10216.00446948276,173.4083564948276,Specific Food Products
164,Melon,2022,1.0565359743589744,11.07363856923077,0.987464335897436,11885.66284205128,619.1902868205128,Specific Food Products
165,Milk chocolate,2022,10.800274824937029,26.79452401234257,17.273873918891688,8151.760939193955,551.84745321335,Specific Food Products
166,Mixed salad,2022,0.9209,2.4391416666666665,1.1609733333333332,28975.097833333333,343.0868683333333,Specific Food Products
167,Mozzarella cheese,2022,16.233199963265307,55.03168965510205,19.06128553673469,31345.40732755102,1507.3516586734693,Specific Food Products
168,Muesli,2022,2.271910570798898,10.505155971900829,3.953067796418732,13749.667275096415,343.1821637628099,Specific Food Products
169,Muffins,2022,2.5836309558468336,9.15721534180717,3.076159288199736,7872.708162680708,412.9297207973426,Specific Food Products
170,Mushrooms,2022,2.3529166740331493,13.401495345303868,2.8723417099447515,87304.04857182321,1459.0838797513811,Specific Food Products
171,Naan,2022,1.0132342196078432,5.372518245098039,2.2928056901960785,8656.553853921569,282.89760349019605,Specific Food Products
172,Nut loaf,2022,0.7161309571428571,5.724987371428572,2.004030042857143,48441.68058571428,885.1011361428572,Specific Food Products
173,Oat milk,2022,0.4532805909090909,1.4349203068181815,0.52687415,811.5056176818182,14.491945377272726,Specific Food Products
174,Olive oil,2022,5.184628231372549,34.26383608039216,21.707958043137253,109146.2891882353,1411.242442745098,Specific Food Products
175,Onions,2022,0.3628603477707006,1.5376792522292992,0.3953572643312102,315.7615157006369,53.86059318025478,Specific Food Products
176,Orange juice,2022,0.4888484060085837,2.1838116137339054,0.7052967030042918,6888.851487107296,142.6926414695279,Specific Food Products
177,Oranges,2022,0.4665495395348837,1.5969830255813957,0.6664983744186047,7715.904773720931,115.53649513953488,Specific Food Products
178,Pain au chocolat,2022,2.8095122264047983,9.584183133761815,4.828993310673254,7522.756968240794,307.2127896754602,Specific Food Products
179,Pancakes,2022,1.5478088875481386,7.8266204628133265,2.441447486533516,8778.749784460419,340.55935759070064,Specific Food Products
180,Parmesan cheese,2022,24.016479826923074,80.51443177692308,28.24949643076923,46478.717165,2253.2114089615384,Specific Food Products
181,Parsnips,2022,0.989606512,6.199973040000001,1.809350044,1110.5161798,12.653977848,Specific Food Products
182,Pasta shells,2022,1.0255827666666666,6.038768866666668,3.5033247666666667,12889.329933333334,333.5653423333333,Specific Food Products
183,Peanut butter,2022,3.434960202255639,14.59059597443609,8.694059591729324,97613.0311925564,2618.9188445639097,Specific Food Products
184,Peanuts,2022,3.1462268521739127,16.732099910869564,8.310863473913043,74295.36079086957,2169.6548552608697,Specific Food Products
185,Pears,2022,0.9255553739583332,13.826378133333332,1.0134629541666669,14139.939864895832,783.3454527291667,Specific Food Products
186,Pecan nuts,2022,2.5159416210526317,19.34034916315789,11.730031494736844,132414.07337368422,3046.9752990526317,Specific Food Products
187,Penne pasta,2022,1.6251067503703704,11.136437193333332,3.7357361029629623,16664.938564404445,614.1643332614815,Specific Food Products
188,Peppers,2022,0.9186621428571428,2.674729285714286,1.2399449999999992,32159.961357142853,362.9267492857144,Specific Food Products
189,Pineapple,2022,0.9320080325,14.002615029999998,1.01530539,14274.44631,793.0396442,Specific Food Products
190,Pitta bread,2022,0.5635607857142857,4.0814917714285714,1.8040658357142856,4853.897026114286,134.3955014857143,Specific Food Products
191,Popcorn,2022,1.813625906,8.917384885333332,3.1817772333333334,8631.517364733334,316.845053608,Specific Food Products
192,Poppadoms,2022,1.50061802,22.66945672,4.95539256,7616.897846,293.5786351333333,Specific Food Products
193,Pork chops,2022,12.163890844686144,76.00038775211395,17.308312471421083,57088.76903928168,1642.005709044881,Specific Food Products
194,Pork loin,2022,11.976514490174353,75.59216611122159,16.46357889728122,57525.90422817709,1611.1902953818817,Specific Food Products
195,Pork sausage rolls,2022,6.186894384955056,34.124387508704494,7.92593466423641,28143.643626256,783.4298074990559,Specific Food Products
196,Pork sausages,2022,9.76787802021892,60.90160707071434,13.559548049646155,45559.16489329039,1292.2172244383887,Specific Food Products
197,Porridge (oatmeal),2022,1.555169024137931,10.481901432471265,4.985335013218391,8600.315522241379,232.5652970258621,Specific Food Products
198,Potato croquettes,2022,0.7742251222222223,4.630590455555555,1.4070545888888888,2664.93791,71.9184978,Specific Food Products
199,Potatoes,2022,0.2072761620938628,1.440415094223827,0.804448725631769,7340.237185732853,80.8085800624549,Specific Food Products
200,Prawn crackers,2022,4.93285324,53.65846023499999,5.467811935,25995.93342,815.87152485,Specific Food Products
201,Prawns,2022,20.91128278264463,154.76684614710746,1.0171648834710745,112126.91242396696,3197.153872785124,Specific Food Products
202,Protein bar,2022,3.3728507866666666,12.169021724444445,11.128268446666668,67106.94949622222,1423.9165438488888,Specific Food Products
203,Protein shake,2022,1.7437289185185187,7.090676822222221,5.642653148148148,6877.318103333333,322.9014169259259,Specific Food Products
204,Pumpkin seeds,2022,1.3239754169230769,5.709214653846154,3.336552010769231,7409.417526923078,212.6054338307692,Specific Food Products
205,Quiche,2022,4.666832655555556,18.21115841111111,5.589517788888889,12242.389093333331,455.8618671111111,Specific Food Products
206,Quinoa,2022,1.1386422326086956,5.669842854347826,3.231874423913044,7388.279832173914,210.35475422173917,Specific Food Products
207,Rapeseed oil,2022,3.288695422222222,15.363705222222222,7.214231961111111,3755.4483977777777,88.67183560555554,Specific Food Products
208,Raspberries,2022,8.3709720025,4.9609239975,1.5448360025000003,3090.698624000001,45.713304,Specific Food Products
209,Raspberry jam,2022,5.107337593055555,14.228613005555555,1.958810109722222,11008.5771725,786.81067525,Specific Food Products
210,Rice,2022,3.925909801226994,26.451045927198365,2.9366605355828224,43467.18888476688,2114.437865009407,Specific Food Products
211,Rice milk,2022,1.4417970766666668,5.668575343333334,0.5183953633333334,9387.363546666667,474.1513327333333,Specific Food Products
212,Rice noodles,2022,3.411126114285714,22.400583966666662,2.4880236619047618,38578.81926190476,1869.5568466190475,Specific Food Products
213,Ricotta cheese,2022,16.294973589473685,55.20656814210526,18.968722342105263,33023.84304736842,1549.2425105263158,Specific Food Products
214,Salmon,2022,10.412581473563218,57.76319110919541,4.7479583689655165,13113.2553045977,1360.675370678161,Specific Food Products
215,Salmon fishcakes,2022,6.505734658333333,35.13801746666667,3.360536633333333,12596.077404999998,1074.9294263333334,Specific Food Products
216,Sausage rolls,2022,5.849549300000001,33.48887201428572,7.839798642857144,27457.92351428572,779.4442135714287,Specific Food Products
217,Shepherd's pie,2022,7.737124814285714,8.490628,11.04638827142857,2672.6386914285717,74.28052877142856,Specific Food Products
218,Shortbread biscuits,2022,2.223782583333333,11.522117616666668,3.0729300000000004,9510.628866666668,514.0502986666667,Specific Food Products
219,Sourdough bread,2022,0.851167273619632,5.415048952760736,2.371923044785276,8694.92046395092,248.65015546625767,Specific Food Products
220,Soy desert,2022,1.0872644037037036,6.153635044444444,1.979015255555556,2670.49205,289.26426044444446,Specific Food Products
221,Soy milk,2022,0.8931078380434783,2.75337799057971,0.8736948463768117,685.6844249615942,50.47613662572464,Specific Food Products
222,Soy yoghurt,2022,0.4960198166666666,3.602947613888889,1.0238125444444444,3004.15248625,196.36602355555556,Specific Food Products
223,Spaghetti,2022,1.6460149465648857,11.099124530534352,3.8149462610687017,13985.7050805687,500.9899480885497,Specific Food Products
224,Spaghetti bolognese,2022,7.83470288,96.66471189,15.15967888,20838.93658,844.7613337999999,Specific Food Products
225,Spinach,2022,1.0091279447881063,2.5686207456015224,0.9922938889942162,11379.193479893987,269.9605126595278,Specific Food Products
226,Sponge cake,2022,1.8774483782608695,9.037613947826086,2.395599504347826,9002.760913043478,487.8855319565218,Specific Food Products
227,Steak pie,2022,7.10186367,91.04132639,14.10315367,17743.36035,727.7406384,Specific Food Products
228,Strawberries,2022,3.241715,3.8288125,3.44723,12006.428495,349.2011275,Specific Food Products
229,Strawberry jam,2022,2.5966625545454547,13.649316547272726,2.968536572727273,15682.252042454546,949.7015981818184,Specific Food Products
230,Sugar,2022,1.851685668181818,17.230218131818184,2.153669372727273,11123.746327272727,1202.390047272727,Specific Food Products
231,Sunflower oil,2022,3.6613972142857145,88.05763412142858,19.461267114285715,1279.4895827857144,23.193771392857144,Specific Food Products
232,Sunflower seeds,2022,1.9344241125,49.43456511875,10.97975300625,812.8472519375,14.26395734375,Specific Food Products
233,Sweetcorn,2022,0.9712034777777776,4.068735271428571,2.082797161904762,7993.130957301588,157.23502601587302,Specific Food Products
234,Tea,2022,17.621043520156775,66.70887755240761,23.65968258174692,2563.3420540940647,62.435396881746925,Specific Food Products
235,Tofu,2022,1.0208654566666666,5.546511616666667,3.0348171733333333,1032.4459432366666,31.183341956666663,Specific Food Products
236,Tomato ketchup,2022,2.609794211941467,10.31409548192206,1.667763272560234,9008.075734236276,494.9507034273989,Specific Food Products
237,Tomatoes,2022,2.271515456192983,6.023792182842104,0.8890183432280702,4959.105277929035,291.66502367098246,Specific Food Products
238,Tortilla wraps,2022,0.9485836666666668,5.00320215,2.2561128055555555,8711.003174444446,231.8360277777778,Specific Food Products
239,Tuna,2022,13.075354910344828,61.55072598965517,5.521839813793104,38556.18244137931,3771.402305517241,Specific Food Products
240,Vegan pizza,2022,1.948103649147688,9.80242409989759,2.0462173942128974,10612.184940256871,293.8913807509125,Specific Food Products
241,Vegetable lasagne,2022,3.3761406499999995,11.851330391666666,4.149298441666667,11075.302178333332,382.99411375,Specific Food Products
242,Vegetarian chilli con carne,2022,1.4292908166666665,6.719541133333333,3.4693256,5549.590148333333,152.48299683333337,Specific Food Products
243,Vegetarian curry,2022,1.3091650341463414,7.350095031707317,2.275063980487805,13161.39969902439,374.7971273170732,Specific Food Products
244,Vegetarian pizza,2022,5.232975720133187,20.05362059683829,6.520732042668087,14237.87038094407,579.2531132803676,Specific Food Products
245,Walnuts,2022,2.4163077789473686,18.742979681578944,11.875851828947368,160556.43612526316,3458.072291255263,Specific Food Products
246,Watermelon,2022,0.96940275,13.1226165,1.0098785,13528.7474105,743.3134685,Specific Food Products
247,Wine,2022,1.7228808271791285,4.642553932935244,4.333115946277149,1925.6693236056367,93.53537938491966,Specific Food Products
248,Yoghurt,2022,3.1118107311672683,9.961395655054153,3.2097209967509026,6595.917073498616,311.7499471739471,Specific Food Products
