Entity,Code,Year,"Scarcity-weighted water use per kilogram (Poore & Nemecek, 2018)"
Apples,,2010,12948.6
Bananas,,2010,661.9
Barley,,2010,696.4
Beef (beef herd),,2010,34732.5
Beef (dairy herd),,2010,119805.2
Beet Sugar,,2010,9493.3
Berries & Grapes,,2010,21162.1
Brassicas,,2010,8455.1
Cane Sugar,,2010,16438.6
Cassava,,2010,0
Cheese,,2010,180850.6
Citrus Fruit,,2010,4662.7
Coffee,,2010,337
Dark Chocolate,,2010,2879.2
Eggs,,2010,17982.7
Fish (farmed),,2010,41572.2
Groundnuts,,2010,61797.9
Lamb & Mutton,,2010,141925
Maize,,2010,10863.3
Milk,,2010,19786.3
Nuts,,2010,229889.8
Oatmeal,,2010,18786.2
Onions & Leeks,,2010,932
Other Fruit,,2010,9533.1
Other Pulses,,2010,22477.4
Other Vegetables,,2010,4911.4
Peas,,2010,27948.2
Pig Meat,,2010,66867.4
Potatoes,,2010,2754.2
Poultry Meat,,2010,14177.9
Prawns (farmed),,2010,127259
Rice,,2010,49576.3
Root Vegetables,,2010,929.2
Soy milk,,2010,955.6
Tofu,,2010,5113.2
Tomatoes,,2010,5335.7
Wheat & Rye,,2010,33385.6
Wine,,2010,1149.3